Participant,Trial,Condition,Correctness,SerPos,Modality,RT1,RT2,RT3,SwitchCon,Switch,TypedTime,SpokenTime,SwitchTime,Prestime,SumRT,SumGlobRT,missing,SumPrestime,CLlocal,CLglobal,check,SP2,SP3,SP4,SP5,SPlinear,SPquad,Glob1,Glob2,Glob3,Local1,Local2,Local1retro,Local1pro,Local2retro,Local2pro
1,28,8,1,1,2,0.691,0.704, ,1,0,0.9776,0.67,0.293,2.01,1.395,8.247,0,11.5588,0.694029851,0.713482368,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,0,0
1,28,8,1,2,2,0.69,0.688, ,3,0,0.9776,0.67,0.293,2.01,1.378,8.247,0,11.5588,0.685572139,0.713482368,0,1,0,0,0,-0.316,-0.267,0,0,1,0,0,0,0,1,0
1,28,8,1,3,1,0.926,0.592,0.705,2,1,0.9776,0.67,0.293,3.2258,2.223,8.247,0,11.5588,0.689131378,0.713482368,0,0,1,0,0,0,-0.535,0,0,1,0,1,0,0,0,0
1,28,8,1,4,2,0.693,0.553,0.615,1,1,0.9776,0.67,0.293,2.303,1.861,8.247,0,11.5588,0.808076422,0.713482368,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,0,1
1,28,8,1,5,2,0.693,0.697, ,3,0,0.9776,0.67,0.293,2.01,1.39,8.247,0,11.5588,0.691542289,0.713482368,0,0,0,0,1,0.632,0.535,0,0,1,0,0,0,0,0,0
1,29,11,1,1,1,0.753,0.596,0.555,2,0,0.9776,0.67,0.293,2.9328,1.904,10.029,0,14.664,0.649208947,0.683919804,0,0,0,0,0,-0.632,0.535,1,0,0,0,0,0,0,0,0
1,29,11,1,2,1,0.711,0.592,0.86,4,0,0.9776,0.67,0.293,2.9328,2.163,10.029,0,14.664,0.737520458,0.683919804,0,1,0,0,0,-0.316,-0.267,1,0,0,0,0,0,0,0,0
1,29,11,1,3,1,0.656,0.692,0.612,4,0,0.9776,0.67,0.293,2.9328,1.96,10.029,0,14.664,0.668303328,0.683919804,0,0,1,0,0,0,-0.535,1,0,0,0,0,0,0,0,0
1,29,11,1,4,1,0.692,0.766,0.687,4,0,0.9776,0.67,0.293,2.9328,2.145,10.029,0,14.664,0.731382979,0.683919804,0,0,0,1,0,0.316,-0.267,1,0,0,0,0,0,0,0,0
1,29,11,1,5,1,0.634,0.632,0.591,4,0,0.9776,0.67,0.293,2.9328,1.857,10.029,0,14.664,0.633183306,0.683919804,0,0,0,0,1,0.632,0.535,1,0,0,0,0,0,0,0,0
1,30,11,1,1,1,0.753,0.557,0.671,4,0,0.9776,0.67,0.293,2.9328,1.981,9.386,0,14.664,0.675463721,0.640070922,0,0,0,0,0,-0.632,0.535,1,0,0,0,0,0,0,0,0
1,30,11,1,2,1,0.75,0.554,0.552,4,0,0.9776,0.67,0.293,2.9328,1.856,9.386,0,14.664,0.632842335,0.640070922,0,1,0,0,0,-0.316,-0.267,1,0,0,0,0,0,0,0,0
1,30,11,1,3,1,0.631,0.577,0.535,4,0,0.9776,0.67,0.293,2.9328,1.743,9.386,0,14.664,0.594312602,0.640070922,0,0,1,0,0,0,-0.535,1,0,0,0,0,0,0,0,0
1,30,11,1,4,1,0.576,0.882,0.609,4,0,0.9776,0.67,0.293,2.9328,2.067,9.386,0,14.664,0.704787234,0.640070922,0,0,0,1,0,0.316,-0.267,1,0,0,0,0,0,0,0,0
1,30,11,1,5,1,0.556,0.554,0.629,4,0,0.9776,0.67,0.293,2.9328,1.739,9.386,0,14.664,0.592948718,0.640070922,0,0,0,0,1,0.632,0.535,1,0,0,0,0,0,0,0,0
1,31,3,1,1,1,0.791,0.595,0.631,4,0,0.9776,0.67,0.293,2.9328,2.017,8.93,0,14.3272,0.68773868,0.623289966,0,0,0,0,0,-0.632,0.535,1,1,0,0,0,0,0,0,0
1,31,3,1,2,1,0.672,0.785,0.667,4,0,0.9776,0.67,0.293,2.9328,2.124,8.93,0,14.3272,0.724222586,0.623289966,0,1,0,0,0,-0.316,-0.267,1,1,0,0,0,1,0,0,0
1,31,3,0,3,2, ,0.557,0.57,1,1,0.9776,0.67,0.293,2.303,1.127,8.93,0,14.3272,0.489361702,0.623289966,0,0,1,0,0,0,-0.535,1,1,0,1,0,0,0,0,0
1,31,3,0,4,1,0.654,0.552,0.781,2,1,0.9776,0.67,0.293,3.2258,1.987,8.93,0,14.3272,0.615971232,0.623289966,0,0,0,1,0,0.316,-0.267,1,1,0,0,0,0,1,0,0
1,31,3,1,5,1,0.535,0.533,0.607,4,0,0.9776,0.67,0.293,2.9328,1.675,8.93,0,14.3272,0.571126568,0.623289966,0,0,0,0,1,0.632,0.535,1,1,0,0,0,0,0,0,0
1,32,10,1,1,2,0.689,0.552,0.57,1,0,0.9776,0.67,0.293,2.01,1.811,9.334,0,11.2658,0.900995025,0.828525271,0,0,0,0,0,-0.632,0.535,0,0,1,0,0,0,0,0,0
1,32,10,1,2,2,0.691,0.602,0.55,3,0,0.9776,0.67,0.293,2.01,1.843,9.334,0,11.2658,0.916915423,0.828525271,0,1,0,0,0,-0.316,-0.267,0,0,1,0,0,0,0,0,0
1,32,10,1,3,2,0.689,0.693,0.534,3,0,0.9776,0.67,0.293,2.01,1.916,9.334,0,11.2658,0.953233831,0.828525271,0,0,1,0,0,0,-0.535,0,0,1,0,0,0,0,0,0
1,32,10,1,4,2,0.589,0.558,0.5,3,0,0.9776,0.67,0.293,2.01,1.647,9.334,0,11.2658,0.819402985,0.828525271,0,0,0,1,0,0.316,-0.267,0,0,1,0,0,0,0,1,0
