2	3	0	0	0	0	1	1.721	0.96	0.61	0.303	0.416
2	5	1	1	1	1	1	1.893	0.419	2.08	0.341	0.613
2	2	1	1	1	1	1	2.648	0.38	0.339	0.38	0.3
2	5	0	1	0	0	0	5.291	0.804	0.843	1.035	1.036
2	1	1	1	0	0	1	3	0.88	0.3	0.534	0.571
2	2	1	1	1	1	1	1.873	0.804	0.341	0.804	0.264
2	3	1	1	1	1	1	2.07	0.185	0.379	0.495	0.341
2	5	1	0	0	0	0	2.268	0.688	0.689	0.455	0.299
2	1	1	1	1	1	1	3.386	0.381	0.612	0.184	0.497
2	4	1	1	1	1	1	1.444	0.5	0.349	0.34	0.3
2	2	0	1	1	0	1	4.043	0.531	0.884	0.686	0.415
2	1	1	1	1	1	1	2.063	0.612	0.457	0.687	0.495
2	1	1	1	1	1	1	2.57	0.264	1.463	0.264	0.226
2	2	1	1	1	1	1	1.564	0.416	0.379	0.38	0.3
2	2	1	1	1	1	1	2.412	0.416	0.959	0.612	0.416
2	1	1	1	1	1	0	1.921	0.032	0.068	0.225	0.144
2	1	1	1	1	1	0	1.913	0.224	1.62	0.571	2.742
2	2	1	1	1	1	1	2.571	0.108	0.573	0.223	0.3
2	5	1	1	1	1	1	1.57	0.341	0.612	0.532	0.571
2	5	1	1	1	0	1	1.489	0.339	0.34	0.456	0.494
2	4	1	1	0	0	1	1.524	0.148	0.145	0.148	0.108
2	4	1	1	1	1	1	1.445	0.416	0.455	0.378	1.035
2	4	1	1	0	1	1	1.444	0.844	0.228	1.306	0.92
2	3	1	1	1	1	1	1.753	1.154	0.299	0.224	0.148
2	1	1	1	0	1	0	1.989	0.312	0.456	0.38	0.148
2	5	0	0	0	1	0	1.951	0.532	0.457	0.223	0.92
2	4	1	1	0	1	0	1.6	2.044	0.803	0.184	0.495
2	1	1	1	1	1	0	1.562	0.224	0.183	0.264	0.068
3	5	1	1	1	1	1	4.929	0.497	0.651	0.774	1.237
3	5	1	0	0	1	1	4.394	15.308	2.51	0.651	1.231
3	4	1	1	1	1	1	2.493	0.339	0.34	1.775	0.845
3	5	1	1	1	0	1	5.832	3.594	3.441	0.343	4.448
